,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Net Positive Review,Review Count,Rating,PriceRange,Genre,Food,Street,addr
31,Easy Joe 二世祖,Tai Kok Tsui,"G/F, 18 Fuk Tsun Street, Tai Kok Tsui",26540.0,370.0,9.0,361.0,454,gp1,150,"  Japanese ,  Dessert  ",  Dessert  , 18 Fuk Tsun Street,18 Fuk Tsun Street Tai Kok Tsui
32,MUTA Restaurant by ATUM,Tsim Sha Tsui,"Shop B131, B1/F, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",26415.0,391.0,7.0,384.0,447,gp1,150,"  Japanese ,  Yoshoku  ",  Yoshoku  , 132 Nathan Road,132 Nathan Road Tsim Sha Tsui
33,Kausumisu 牛匠石燒,Tsim Sha Tsui,"G/F, Fook Kiu Mansion, 34-36A Cameron Road, Tsim Sha Tsui",13468.0,467.0,11.0,456.0,524,gp1,300,"  Japanese ,  Ramen  ",  Ramen  , 34-36A Cameron Road,34-36A Cameron Road Tsim Sha Tsui
34,Kane Tsuru Ramen (Min Street) 金鶴拉麵 (閩街),Jordan,"G/F, 3 Min Street, Jordan",24824.0,736.0,13.0,723.0,866,gp1,150,"  Japanese ,  Ramen  ",  Ramen  , 3 Min Street,3 Min Street Jordan
35,Waki Shokudo (Wong Tai Sin Shopping Centre) 和氣食堂 (黃大仙中心),Wong Tai Sin,"Shop G12A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",13025.0,919.0,15.0,904.0,1055,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 103 Ching Tak Street,103 Ching Tak Street Wong Tai Sin
36,TONO DAIKIYA 殿 大喜屋,Tsim Sha Tsui,"1/F, 26 Kimberley Road, Tsim Sha Tsui",83531.0,790.0,43.0,747.0,1093,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 26 Kimberley Road,26 Kimberley Road Tsim Sha Tsui
37,Sushi Sho 翔壽司,Tsim Sha Tsui,"Shop 4, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",16732.0,470.0,6.0,464.0,530,gp1,75,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 5-6 Hau Fook Street,5-6 Hau Fook Street Tsim Sha Tsui
38,Years (Fuk Lung Building) 素年 (福隆大廈),Sham Shui Po,"Shop 1, G/F, Fuk Lung Building,191-199 Fuk Wah Street, Sham Shui Po",37687.0,357.0,4.0,353.0,460,gp1,150,"  Japanese ,  Vegetarian  ",  Vegetarian  ,191-199 Fuk Wah Street,191-199 Fuk Wah Street Sham Shui Po
39,Akita Hamayaki 秋田浜燒食堂,Tsim Sha Tsui,"G/F, 8 Observatory Court, Tsim Sha Tsui",13141.0,581.0,1.0,580.0,597,gp1,600,"  Japanese ,  Seafood  ",  Seafood  , 8 Observatory Court,8 Observatory Court Tsim Sha Tsui
40,Ganso Tsukemen 元祖沾麵專門店,Tsim Sha Tsui,"Shop 5, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",24307.0,817.0,134.0,683.0,1152,gp1,150,"  Japanese ,  Ramen  ",  Ramen  , 5-6 Hau Fook Street,5-6 Hau Fook Street Tsim Sha Tsui
41,DONYIN DINER 丼燃食堂,Mong Kok,"Shop 6, G/F, Hung Wai Building, 3-5 Fa Yuen Street, Mong Kok",12116.0,329.0,5.0,324.0,376,gp1,75,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 3-5 Fa Yuen Street,3-5 Fa Yuen Street Mong Kok
42,Black Wood Izakaya (Cameron Road) 黑木亭居酒屋 (金馬倫道),Tsim Sha Tsui,"G/F-1//F, Kok Pah Mansion, 58-60 Cameron Road, Tsim Sha Tsui",19476.0,399.0,16.0,383.0,444,gp1,300,"  Japanese ,  Robatayaki  ",  Robatayaki  , 58-60 Cameron Road,58-60 Cameron Road Tsim Sha Tsui
43,Ajidouraku (Hanoi Road) 味道樂居酒屋 (河內道),Tsim Sha Tsui,"G/F, 2 Hanoi Road, Tsim Sha Tsui",19675.0,650.0,16.0,634.0,717,gp1,150,"  Japanese ,  Izakaya  ",  Izakaya  , 2 Hanoi Road,2 Hanoi Road Tsim Sha Tsui
44,KEBABEER 串酒里,Tsim Sha Tsui,"Shop B, G/F,  6 Hillwood Road, Tsim Sha Tsui",23283.0,743.0,21.0,722.0,826,gp1,150,"  Japanese ,  Roast Meat  ",  Roast Meat  ,  6 Hillwood Road,6 Hillwood Road Tsim Sha Tsui
45,Sushi Tokumi 德美壽司,Tsim Sha Tsui,"5/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",29243.0,553.0,20.0,533.0,741,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 8 Hau Fook Street,8 Hau Fook Street Tsim Sha Tsui
46,Fifth Element Shokudo 五要素食堂,Tsim Sha Tsui,"Shop L308, 3/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",12330.0,305.0,14.0,291.0,363,gp1,150,"  Japanese ,  Yoshoku  ",  Yoshoku  , 100 Nathan Road,100 Nathan Road Tsim Sha Tsui
47,Kane Tsuru Ramen (Kowloon City Road) 金鶴拉麵 (九龍城道),To Kwa Wan,"Shop B, G/F, Luen Yip Building, 10-16A Kowloon City Road, To Kwa Wan",7994.0,486.0,6.0,480.0,548,gp1,150,"  Japanese ,  Ramen  ",  Ramen  , 10-16A Kowloon City Road,10-16A Kowloon City Road To Kwa Wan
48,Mikazuki 三日月,Tsim Sha Tsui,"Shop B, 2/F, Cameron Plaza, 23 Cameron Road, Tsim Sha Tsui",12255.0,376.0,11.0,365.0,402,gp1,600,"  Japanese ,  Teppanyaki  ",  Teppanyaki  , 23 Cameron Road,23 Cameron Road Tsim Sha Tsui
49,Naruto Japanese Restaurant 鳴門割烹料理,Kowloon Bay,"shop 2, 2/F, Exchange Tower, 33 Wang Chiu Road,, Kowloon Bay",9235.0,366.0,18.0,348.0,438,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  ,,Kowloon Bay
50,Hamataki 浜滝,Kowloon City,"Shop A, G/F, 59 Fuk Lo Tsun Road, Kowloon City",20685.0,570.0,34.0,536.0,662,gp1,300,"  Japanese ,  Ramen  ",  Ramen  , 59 Fuk Lo Tsun Road,59 Fuk Lo Tsun Road Kowloon City
51,Ajidouraku (Un Chau Street) 味道樂居酒屋 (元州街),Cheung Sha Wan,"Shop C, G/F, Green Court, 498 Un Chau Street, Cheung Sha Wan",19182.0,519.0,19.0,500.0,617,gp1,150,"  Japanese ,  Izakaya  ",  Izakaya  , 498 Un Chau Street,498 Un Chau Street Cheung Sha Wan
52,Uosei Japanese Restaurant 漁正居酒屋,Jordan,"G/F, Kam Ling Building, 42 Pilkem Street, Jordan",6291.0,302.0,8.0,294.0,329,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 42 Pilkem Street,42 Pilkem Street Jordan
53,KOKON2 古今二,Tsim Sha Tsui,"Shop 502, 5/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",5153.0,313.0,6.0,307.0,329,gp1,300,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 100 Nathan Road,100 Nathan Road Tsim Sha Tsui
54,Bella Shine,Kwun Tong,"Room B, 2/F, Speedy Industrial Building, 114 How Ming Street, Kwun Tong",29245.0,525.0,33.0,492.0,647,gp1,150,"  Japanese ,  Skewer  ",  Skewer  , 114 How Ming Street,114 How Ming Street Kwun Tong
55,逸 壽司,Tsim Sha Tsui,"Shop A2A & A2B, G/F, Astoria Building, 24-38 Ashley Road, Tsim Sha Tsui",5357.0,264.0,4.0,260.0,280,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 24-38 Ashley Road,24-38 Ashley Road Tsim Sha Tsui
